!CSV A.01.01
!Keysight Technologies,N5247B,US56070639,A.17.30.08
!Date: Wednesday, July 22, 2026 11:38:12
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG),S22(REAL),S22(IMAG),S12(REAL),S12(IMAG)
26500000000,-0.00015379689,0.00015803448,-1.0009304,0.024463177,-0.98583591,0.032848507,-0.00014586253,1.5864516e-005
26567500000,-0.0004704007,0.00021840964,-0.99901384,0.023009241,-0.9861508,0.032713592,-0.0003669186,0.00021165705
26635000000,-0.00018621857,8.8916495e-006,-0.99812871,0.024457604,-0.98349869,0.032124758,-0.00011804201,0.00029430864
26702500000,-1.7765513e-005,-9.6807235e-005,-0.9997164,0.024584815,-0.98473239,0.034269348,-0.00057030428,0.00034081249
26770000000,-0.00024904503,-3.4197346e-005,-0.99962157,0.023096249,-0.98546654,0.030593418,-0.00025088983,3.22739e-005
26837500000,-0.00032919875,0.00019649543,-0.99836826,0.024117708,-0.98239344,0.032115832,-0.00026293567,3.52678e-005
26905000000,-0.00029090108,-0.00010393775,-1.0005152,0.023715511,-0.98460495,0.032635704,-0.00030785642,0.00029611838
26972500000,-0.00021193398,7.2259623e-005,-0.99845219,0.02373144,-0.98415458,0.030899137,-0.00038111355,-9.6132717e-006
27040000000,-0.00010576369,0.000138363,-0.99967253,0.025026593,-0.98157769,0.031638138,-0.00032686515,1.7061204e-005
27107500000,-0.00031075711,1.3402809e-005,-1.000841,0.023840517,-0.98421633,0.032088101,-0.00019169835,-1.0249569e-005
27175000000,-0.00026924681,0.00010028861,-0.9982031,0.02306667,-0.98289132,0.02978453,-0.00033418063,0.0002005822
27242500000,-0.00010151087,-5.2232692e-005,-0.99825668,0.025354862,-0.98231953,0.031203002,-0.00047506907,3.6656449e-005
27310000000,-7.7490775e-005,1.6894195e-005,-0.99976063,0.023776866,-0.98306829,0.031701043,-0.00011542793,0.00017253784
27377500000,-0.00027218502,-4.899958e-005,-0.99845308,0.024405256,-0.98098791,0.030385986,-0.00026926884,-0.00022184791
27445000000,-0.00034936852,-0.0001679894,-0.99914861,0.024813056,-0.98105943,0.030801594,-0.00025800423,4.4079672e-005
27512500000,-0.00026046092,1.5739803e-005,-0.99992716,0.023693055,-0.98296088,0.030494303,-0.00042668078,-1.2004864e-005
27580000000,-0.0004943345,4.3853855e-005,-0.99696589,0.025012225,-0.98024142,0.030454129,-0.00014588187,0.00025838497
